2025-04-15 09:19:10 | INFO | bot | Начало регистрации модуля: bot
2025-04-15 09:19:10 | INFO | bot | Модуль успешно зарегистрирован: bot
2025-04-15 09:19:10 | INFO | modules.bot | Модуль bot успешно зарегистрирован.
2025-04-15 09:19:10 | INFO | bot | Модуль bot успешно зарегистрирован.
2025-04-15 09:19:10 | INFO | bot | Модуль common успешно загружен.
2025-04-15 09:19:10 | INFO | bot | Модуль monitoring успешно загружен.
2025-04-15 09:19:10 | DEBUG | modules.profile.handlers.profile | Logger 'modules.profile.handlers.profile' инициализирован с уровнем DEBUG.
2025-04-15 09:19:10 | DEBUG | modules.profile.handlers.start | Logger 'modules.profile.handlers.start' инициализирован с уровнем DEBUG.
2025-04-15 09:19:10 | DEBUG | modules.profile.handlers.redirect_lenta | Logger 'modules.profile.handlers.redirect_lenta' инициализирован с уровнем DEBUG.
2025-04-15 09:19:10 | DEBUG | modules.profile | Logger 'modules.profile' инициализирован с уровнем DEBUG.
2025-04-15 09:19:10 | INFO | bot | Модуль profile успешно загружен.
2025-04-15 09:19:10 | INFO | modules.profile | ✅ Бот 'Профиль' запущен в отдельном потоке.
2025-04-15 09:19:10 | INFO | bot | Модуль profile успешно зарегистрирован.
2025-04-15 09:19:10 | INFO | bot | Модуль reposts успешно загружен.
2025-04-15 09:19:10 | DEBUG | modules.subscriptions.manager | Logger 'modules.subscriptions.manager' инициализирован с уровнем DEBUG.
2025-04-15 09:19:10 | INFO | bot | handle_subscription_callback успешно импортирован.
2025-04-15 09:19:10 | INFO | bot | Функции is_user_subscribed и get_user_subscriptions успешно импортированы.
2025-04-15 09:19:10 | INFO | bot | Модуль subscriptions успешно загружен.
2025-04-15 09:19:10 | INFO | bot | Поллинг Telegram‑бота запущен в отдельном потоке.
2025-04-15 09:19:10 | INFO | modules.bot | Запуск поллинга Telegram‑бота.
2025-04-15 09:19:11 | INFO | bot | Обновление UI начато.
2025-04-15 09:19:11 | INFO | bot | StatusBar обновлён
2025-04-15 09:19:11 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:19:11 | INFO | bot | Обновление UI завершено.
2025-04-15 09:19:11 | INFO | modules.profile | 🚀 Профиль-бот: запуск поллинга
2025-04-15 09:19:21 | INFO | bot | Обновление UI начато.
2025-04-15 09:19:21 | INFO | bot | StatusBar обновлён
2025-04-15 09:19:21 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:19:21 | INFO | bot | Обновление UI завершено.
2025-04-15 09:19:31 | INFO | bot | Обновление UI начато.
2025-04-15 09:19:31 | INFO | bot | StatusBar обновлён
2025-04-15 09:19:31 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:19:31 | INFO | bot | Обновление UI завершено.
2025-04-15 09:19:40 | INFO | bot | Создаётся новый движок БД в loop id: 2783702515840
2025-04-15 09:19:40 | INFO | bot | Движок базы данных успешно инициализирован.
2025-04-15 09:19:40 | DEBUG | bot | Используется существующий движок БД, созданный в loop id: 2783702515840
2025-04-15 09:19:41 | INFO | bot | Обновление UI начато.
2025-04-15 09:19:41 | INFO | bot | StatusBar обновлён
2025-04-15 09:19:41 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:19:41 | INFO | bot | Обновление UI завершено.
2025-04-15 09:19:51 | INFO | bot | Обновление UI начато.
2025-04-15 09:19:51 | INFO | bot | StatusBar обновлён
2025-04-15 09:19:51 | INFO | bot | ModuleListWidget обновлён
2025-04-15 09:19:51 | INFO | bot | Обновление UI завершено.
2025-04-15 09:36:55 | DEBUG | bot | Logger 'bot' инициализирован с уровнем DEBUG.
2025-04-15 09:36:55 | INFO | bot | Конфигурация успешно загружена.
2025-04-15 09:36:56 | DEBUG | core.database.crud | Logger 'core.database.crud' инициализирован с уровнем DEBUG.
2025-04-15 09:36:57 | DEBUG | central_core.task_manager | Logger 'central_core.task_manager' инициализирован с уровнем DEBUG.
2025-04-15 09:36:57 | DEBUG | modules.monitoring.cleanup_service | Logger 'modules.monitoring.cleanup_service' инициализирован с уровнем DEBUG.
2025-04-15 09:36:57 | INFO | bot | Функция perform_cleanup успешно импортирована.
2025-04-15 09:36:57 | INFO | bot | Инициализация центрального ядра началась.
2025-04-15 09:36:57 | INFO | bot | Центральное ядро успешно инициализировано.
2025-04-15 09:36:57 | INFO | bot | Центральное ядро успешно инициализировано.
2025-04-15 09:37:04 | DEBUG | modules.bot.activity_middleware | Logger 'modules.bot.activity_middleware' инициализирован с уровнем DEBUG.
2025-04-15 09:37:05 | DEBUG | modules.bot | Logger 'modules.bot' инициализирован с уровнем DEBUG.
2025-04-15 09:37:05 | INFO | bot | Модуль bot успешно загружен.
2025-04-15 09:37:05 | INFO | modules.bot | Регистрация всех Telegram-обработчиков...
2025-04-15 09:37:05 | DEBUG | modules.bot.services.user_service | Logger 'modules.bot.services.user_service' инициализирован с уровнем DEBUG.
2025-04-15 09:37:05 | DEBUG | modules.bot.services.user_service | Logger 'modules.bot.services.user_service' инициализирован с уровнем DEBUG.
2025-04-15 09:37:05 | DEBUG | modules.bot.handlers.activity | Logger 'modules.bot.handlers.activity' инициализирован с уровнем DEBUG.
2025-04-15 09:37:05 | DEBUG | modules.bot.handlers.activity | Logger 'modules.bot.handlers.activity' инициализирован с уровнем DEBUG.
2025-04-15 09:37:05 | INFO | modules.bot | Импортирован обработчик: modules.bot.handlers.activity
2025-04-15 09:37:05 | DEBUG | modules.bot | Подключение register_handler из modules.bot.handlers.activity
2025-04-15 09:37:05 | INFO | modules.bot | Обработчик modules.bot.handlers.activity зарегистрирован.
2025-04-15 09:37:05 | DEBUG | modules.bot.handlers.channel_buttons | Logger 'modules.bot.handlers.channel_buttons' инициализирован с уровнем DEBUG.
